ID, name, author, year
1300, Logic and Language Models for Computer Science: 3rd Edition, Dana Richards,
1301, Studies in Computer Science: 22, Seymour V. Pollack, 1983
1302, Practical Distributed Processing, Phillip J. Brooke; Richard F. Paige, 2007
1303, CBSE All in One Computer Science: Class - 12, K. Ganesh Ayyer; Minni Goyal,
1304, Preparing for the AP Computer Science Principles Exam, Kathleen M. McLead; Tony Graham,
1305, Introduction to Computer Science Using Java+ Student Workbook, Jesse Liberty, 2004
1306, Theoretical Computer Science: Essays in Memory of Shimon Even, Oded Goldreich, 2006
1307, Computer Science: End-To-End Data Analysis, Gerard Blokdyk,
1308, Fundamentals of Java: Ap* Computer Science Essentials for the a Exam, Kenneth A. Lambert; Martin Osborne, 2006
1309, Itcs 15 Innovations on Theoretical Computer Science, Itcs 15 Conference Committee, 2015
1310, A First Course in Computer Science with Modula-2, Lewis J. Pinson; Richard S. Wiener; Richard F. Sincovec, 1987
1311, Function point analysis in computer science capstone projects., Evelyn Torres,
1312, Fundamentals of JavaTM: AP* Computer Science Essentials, Kenneth A. Lambert; Martin Osborne, 2010
1313, Advances in Chinese Computer Science+ Volume 3, K S Xu,
1314, Computer Science K-12: Imagining the possibilities!, Doug Bergman,
1315, Computing And Computer Science; A First Course With Fortran Iv, Theodor D. Sterling; Seymour V. Pollack,
1316, My Revision Notes Edexcel GCSE Computer Science, Steve Cushing, 2015
1317, Basic Concepts in Computer Science, Luisa Blaylock, 2012
1318, Design Patterns in Java: Computer Science Interview Series, MR Vaskaran Sarcar, 2015
1319, Negation and Control in Prolog, Lee Naish, 2009
1320, Introduction to Programming With Simula, R. J. Pooley, 1987
1321, Database System Concepts: Computer Science+ Information Technology, Cram101 Textbook Reviews,
1322, Introduction to Software Quality, Gerard O&#39;Regan, 2014
1323, Computational Intelligence: A Methodological Introduction, Rudolf Kruse; Christian Borgelt; Christian Braune,
1324, Gate 2018: Computer Science &amp; it Engineering Solved Papers, Made Easy Editorial Board,
1325, Lab Manual for Schneider and Gersting&#39;s an Invitation to Computer Science, Kenneth A. Lambert; G. Michael Schneider; Thomas Whaley, 1998
1326, Filtering+ Segmentation and Depth, Mark Nitzberg; David Mumford; Takahiro Shiota, 2008
1327, GATE-16 Computer Science &amp; Information Technology, ACE Engineering,
1328, Advances in Chinese Computer Science+ Volume 1, Kongshi Xu,
1329, Addison Wesley Guide For Advanced Placement Computer Science, Samuel E. Rhoads,
1330, Aqa Gcse (9-1) Computer Science, S Robson; P M Heathcote,
1331, Computer Science and Information Technology: CS &amp; IT for GATE, N.B. Venkateswarlu, 2013
1332, Computer Science Education: Perspectives on Teaching and Learning in School, Alison Baker; Sue Sentance; Erik Barendsen,
1333, Coevolutionary Fuzzy Modeling, Carlos Andrés Peña-Reyes, 2008
1334, GATE Tutor 2014 Computer Science and Information Technology, Nitesh Jain,
1335, Sigsce 97: Computer Science Education Technical Symposium, Curt M. White, 1997
1336, A Computer Science Reader: Selections from Abacus, Ellen Weiss, 1987
1337, From Gates to Apps: An Introduction to Computer Science, Edward Amoroso; Matthew Amoroso,
1338, Geometric Algebra Computing: in Engineering and Computer Science, Eduardo Bayro-Corrochano; Gerik Scheuermann,
1339, Geometric Methods and Applications: For Computer Science and Engineering, Jean Gallier, 2000
1340, Aqa a Level Year 2 Computer Science, P M Heathcote; R Su Heathcote,
1341, Schaum&#39;s Outline of Introduction to Computer Science, Ramon Mata-Toledo, 1999
1342, GATE Computer Science and Information Technology 2018, Trishna Knowledge Systems,
1343, Communications &amp; Security in Computer Science, Prudence Vick, 2012
1344, Mathematical Foundations of Computer Science+ 1994+ 841, Igor Prívara; Branislav Rovan; Peter Ružička, 1994
1345, OCR as Computer Science (H046) - Revision Notes, Joe Harris,
1346, Iticse 14 Innovation and Technology in Computer Science Education, Iticse 14 Conference Committee, 2014
1347, Engineering Design+ An Introduction to Architecture+ Computer Science &amp; Engineering, Robin McKenzie,
1348, Computer Science I Lab Manual Using Turb, Brenda C. Parker, 1999
1349, Itk- Computer Science Illuminated Instructor Toolkit, Nell B. Dale, 2002
1350, Graph Theory with Applications to Algorithms and Computer Science, Yousef Alavi, 1985
1351, HTET PGT Computer Science Level - 3, Arihant Experts,
1352, Guide to Graduate Engineering &amp; Computer Science Programs in Canada, Education International, 1998
1353, 18th Annual IEEE Symposium on Logic in Computer Science, Institute of Electrical and Electronics Engineers, 2003
1354, Computer Science and Technology: Proceedings of the International Conference, Ning  Cai,
1355, Fork Algebras in Algebra+ Logic and Computer Science, Marcelo Fabian Frias, 2002
1356, Fork Algebras in Algebra+ Logic and Computer Science, Marcelo Fabian Frias, 2002
1357, Communities of Computing: Computer Science and Society in the ACM, Thomas J Misa,
1358, Wiley Acing the Gate: Computer Science and Information Technology, Gaurav Sharma+ Kuldeep Singh Anil Kumar Verma,
1359, CSC 1993: ACM Annual Computer Science Conference, Stan C. Kwasny,
1360, New Results and New Trends in Computer Science, Hermann A. Maurer, 1991
1361, Symposium on Foundations of Computer Science+ 28th+ 1987: Proceedings, Institute of Electrical and Electronics Engineers, 1987
1362, CBSE All in One Computer Science Class 11th, Harshit Garg; Swati Rana, 2014
1363, Limits of Graphs in Group Theory and Computer Science, Arzhantseva Goulnara; Goulnara Arzhantseva; Alain Valette, 2009
1364, Advances in Chinese Computer Science: Volume 3, Kongshi Xu, 1991
1365, Supply Chain Management and Its Applications in Computer Science, Saoussen Krichen; Sihem Ben Jouida, 2015
1366, Computer Science Series+ Java Programming Examples, Thomas C. Owens; Jeri J. Owens,
1367, The Carnegie-Mellon Curriculum for Undergraduate Computer Science, S.D. Brookes, 1984
1368, Computer Science Information Technology - Book 3, Sangeeta Panchal; Alka Sabharwal, 2004
1369, Pascal By Example: From Practice To Principle In Computer Science, Barry A. Burd, 1995
1370, Reflection and Software Engineering, Walter Cazzola; Robert J. Stroud; Francesco Tisato, 2008
1371, Barron&#39;s AP Computer Science with CD-ROM, Roselyn Teukolsky, 2007
1372, Iticse 15 Innovation and Technology in Computer Science Education, Iticse 15 Conference Committee, 2015
1373, Research Directions in Computer Science: An Mit Perspective, Albert R. Meyer, 1991
1374, Binary and Hexadecimal Workbook for GCSE Computer Science and Computing, David Morgan,
1375, AP Computer Science A+ Clarification of the Java Subset, Richard Baldwin,
1376, Proof and Computation: Digitization in Mathematics+ Computer Science and Philosophy, Klaus Mainzer; Peter Schuster; Helmut Schwichtenberg,
1377, My Revision Notes Aqa A-Level Computer Science, Bob Reeves,
1378, Computer Science Illuminated 7e W/ Advantage Access, Nell Dale; John   Lewis,
1379, C++ Codes for High School Computer Science Students, Somnath PaulChoudhury, 2012
1380, Computer Science: Information Technology Coursebook 5, Sangeeta Panchal; Alka Sabharwal,
1381, Temporal Logics in Computer Science: Finite-State Systems, S Demri; V Goranko; Martin Lange,
1382, Aqa Gcse Computer Science Student&#39;s Book, Steve Cushing, 2013
1383, AP Computer Science 01 Java JDK with DOS, Santhosh Garmilla; Swamy Jagannatham; Archana Jagannatham, 2012
1384, Foundations of Computer Science+ 33rd Symposium on, Institute of Electrical and Electronics Engineers, 1992
1385, Big Data Integration Theory, Zoran Majkić, 2014
1386, Computability and Decidability: An Introduction for Students of Computer Science, J. Loeckx, 1972
1387, Assess Yourself in Computer Science - 2 Vols., S Venugopal,
1388, Foundations of Computer Science+ 34th Symposium on, Institute of Electrical and Electronics Engineers, 1993
1389, Foundations of Software Technology and Theoretical Computer Science, Kesav V. Nori, 1987
1390, A/As Level Computer Science for OCR Student Book, Alistair Surrall; Adam Hamflett,
1391, The Elements of Logic: For Use in Computer Science+ Mathematics+ and Philosophy, William J. Edgar, 1989
1392, Analytical Engine: An Introduction to Computer Science Using      Toolbook, Rick Decker; Stuart Hirshfield, 1992
1393, AP® Computer Science Principles Crash Course, Jacqueline Corricelli,
1394, Foundations of Computer Science+ 36th Symposium on, Institute of Electrical and Electronics Engineers, 1995
1395, Advances in Computer Science and Ubiquitous Computing: CSA-Cute2016, James J. Park; Yi Pan; Gangman Yi,
1396, Applied Probability-Computer Science: The Interface Volume 1, Ralph L Disney; Teunis J Ott, 2011
1397, Advanced Research on Computer Science and Information Engineering, Gang Shen; Xiong Huang, 2011
1398, CONLAN Report, R. Piloty; M. Barbacci; D. Borrione, 2008
1399, Concepts of Proof in Mathematics+ Philosophy+ and Computer Science, Dieter Probst; Peter Schuster, 2016
1400, Olympiad Excellence Guide for Computer Science, Sandeep Kumar,
1401, Oracle Database Principles, Z.M. Sikora,
1402, Computer Science 12: CBSE+ 1st Edition, Charu Gupta; Preeti Gehlot,
1403, Combinatorial Optimization and Theoretical Computer Science: Interfaces and Perspectives, Vangelis T. Paschos, 2010
1404, Lovejoy&#39;s Guide to Graduate Programs in Engineering and Computer Science, Wintergreen; Orchard House, 1998
1405, Aqa Computer Science for Gcse Student Book, Steve Cushing,
1406, All in One COMPUTER SCIENCE CBSE Class 11th, Harshit Garg; Swati Rana,
1407, Preparing for Graduate School Examinations in Computer Science, Christopher Scaffidi,
1408, Computing Tomorrow: Future Research Directions in Computer Science, Wand Ian; Milner Robin; Ian Wand,
1409, An Invitation to Computer Science: Laboratory Manual C++ Edition, Kenneth A. Lambert; Thomas Whaley, 2004
1410, Building Modula 2 Programs: An Introduction To Computer Science, Stuart Reges,
1411, GATE 2013: Computer Science &amp; Information Technology, G K P,
1412, General Systems Theory a Focus on Computer Science Engineering, Dougglas Hurtado Carmona, 2011
1413, Click Start 6 : Computer Science For Schools, Anjna Virmani,
1414, Computing And Computer Science: A First Course With Fortran Iv, Theodore D. Sterling; Demetrios E. Theodore,
1415, 10 Practice Sets - Computer Science &amp; IT for GATE 2016, Ranshu Dwivedi,
1416, 10 Practice Sets - Computer Science &amp; IT for GATE 2016, Ranshu Dwivedi,
1417, Developing a Computer Science Agenda for High Performance Computing, Uzi Vishkin,
1418, Social Issues in Computing, C.C. Gotlieb; A. Borodin; Werner Rheinboldt,
1419, PGT Guide Computer Science Recruitment Examination, Arihant Experts,
1420, Probability and Statistics with Reliability+ Queuing+ and Computer Science Applications, Kishor S Trivedi,
1421, Computer Science and Information Technology, Subject Experts of the ACE Engineerng Academy,
1422, International directory of acronyms in library+ information+ and computer sciences, Pauline M Vaillancourt, 1980
1423, Annual Review of Computer Science+ Volume 1: 1986, Joseph F. Traub,
1424, Quick Concepts in Computer Science: Regular Languages, William M Springer II, 2015
1425, Graduate Studies in Engineering+ Computer Science &amp; Information Studies, Peterson&#39;s, 1998
1426, Effective Learning &amp; Teaching in Information &amp; Computer Sciences, &amp;. Alexand Irons; Sylvia Alexander, 2003
1427, Preference Query Analysis and Optimization, Yunjun Gao; Qing Liu,
1428, A General Framework for Reasoning On Inconsistency, Maria Vanina Martinez; Cristian Molinaro; V.S. Subrahmanian, 2013
1429, Computer Science: An Object Oriented Approach Using C++, Forouzan Behrouz; Richard Gilberg; Forouzan Behrouz, 2011
1430, Computer Science &amp; Information Technology GATE 2018, Shanti Kirupani; Prachi Jain; Amrita Mishra,
1431, Computer Science Education: Perspectives on Teaching and Learning in School, Sue Sentance,
1432, Frank Computer Science 2017 Class 6, Suchanda Sen,
1433, Computer Science Engineering Question Bank for the Gate, Trishna Knowledge Systems,
1434, Career Choices for the 90&#39;s for Students of Computer Science, Career Associates, 1990
1435, Foundations of Algorithms: Computer Science+ Software Engineering, Cram101 Textbook Reviews,
1436, GATE Tutor 2015 Computer Science &amp; Information Technology, Er. Shanti Kirupani; Prachi Jain; Amrita Mishra, 2014
1437, Pearson Custom Computer Science, Daniel Liang,
1438, Cryptography: Lecture Notes in Computer Science: 149, Thomas Beth, 1983
1439, Olympied Excellence Guide For Computer Science Class 8, Inna Jha,
1440, Establishing Academic Structures in Computer Science at Herat University, Alexandra Balschun, 2006
1441, Computer Science And Statistics: Proceedings Of The 14th Symposium On The Interface, Karl W. Heiner, 1998
1442, Hospitals--a systems approach, Raymon D Garrett, 1973
1443, Principles of Programming Languages, Gilles Dowek, 2009
1444, A Practical Guide to Gender Diversity for Computer Science Faculty, Diana Franklin, 2013
1445, Wiley Acing the GATE: Computer Science and Information Technology, ANIL KUMAR VERMA; Kuldeep Singh; Gaurav Sharma,
1446, Computer Science I Lab Manual Using C++, Brenda C. Parker; J. Mac Thweatt; Judith A. Hankins, 1995
1447, Register Allocation in Optimizing Compilers, Bruce W. Leverett,
1448, Computer Science Teacher: Insight into the computing classroom, Beverly Clarke,
1449, Annual Review of Computer Science+ Volume 3, Joseph F. Traub; Barbara J. Grosz,
1450, All In One Computer Science CBSE Class 12th, K Ganesh Ayyer; Minni Goyal,
1451, GATE Computer Science and Information Technology 2017, Trishna Knowledge Systems,
1452, Peterson&#39;s Computer Science &amp; Electrical Engineering Programs, Peterson&#39;s, 1998
1453, An Invitation to Computer Science: Laboratory Manual+ Java Edition, Kenneth A. Lambert; Thomas Whaley, 2004
1454, Introduction to Computer Science and Problem Solving with Java, Sarnath Sarnath; Braham Dathan, 2014
1455, Basic Graph Theory, Md. Saidur Rahman,
1456, Structures and Abstractions: An Introduction to Computer Science with Pascal, W. Salmon, 1994
1457, Encyclopedia of Computer Science and Technology+ Second Edition, Phillip A Laplante,
1458, Oxford Computer Science: Information Technology for CBSE X, Sangeeta Panchal; Alka Sabharwal,
1459, Guide to Public Sector Computer Science/Information Technology, GKP,
1460, Textbank Systems: Computer Science Applied in the Field of Psychoanalysis, Erhard Mergenthaler, 1985
1461, Computer Science: Reflections on the Field+ Reflections from the Field, Committee on the Fundamentals of Computer Science Challenges and Opportunities National, 2009
1462, Super-Recursive Algorithms. Monographs in Computer Science., Mark Burgin, 2005
1463, Computer Science Notebook: 6 X 9, Richard B. Foster,
1464, Sigcse 93: Technical Symposium on Computer Science Education, Cary Laxer, 1993
1465, DRDO (CEPTAM) Sr.Tech. Asst. Computer Science, GKP,
1466, Proof and Computation:Digitization in Mathematics+ Computer Science and Philosophy, Klaus Mainzer; Peter Schuster; Helmut Schwichtenberg,
1467, Advanced Research on Computer Science and Information Engineering, Gang Shen; Xiong Huang, 2011
1468, Let&#39;s Find Out! Computer Science, Various,
1469, General Systems Theory: A focus on computer science engineering, Dougglas Hurtado Carmona,
1470, A/As Level Computer Science for Wjec/Eduqas Teaching Programming, Laura Dixon, 2015
1471, Courant Computer Science: Symposium 9+ Combinatorial Algorithms, Randall Rustin,
1472, Advances in Computer Science and Ubiquitous Computing: CSA &amp; Cute, Doo-Soon Park; Han-Chieh Chao; Young-Sik Jeong,
1473, Design Patterns in JAVA: Computer Science Interview Series, Vaskaran Sarcar, 2015
1474, International Conference on Computer Science, Institute of Electrical and Electronics Engineers, 2003
1475, Sofsem 2006: Theory and Practice of Computer Science, Ji?i Wiedermann, 2006
1476, Sofsem 2006: Theory and Practice of Computer Science, Ji?i Wiedermann, 2006
1477, Visual C++08 How Program&amp;computer Science, Prentice Hall Pearson, 2009
1478, Program Verification: Fundamental Issues in Computer Science, Timothy R. Colburn; James H. Fetzer; Terry L. Rankin, 1993
1479, Computer Science: A Structured Programming Approach Using C, FOROUZAN,
1480, As Computer Science for Aqa Units 1 and 2, Kevin Roy Bond,
1481, Handbook of Theoretical Computer Science: Formal Models and Semantics, Jan Van Leeuwen, 1990
1482, OCR Computer Science for Gcse Student Book, George Rouse; Sean O&#39;Byrne,
1483, A Computer Science Reader: Selections from Abacus, Eric A. Weiss, 2012
1484, Computer Science   A Breadth First Approach With C Im, J Impagliazzo,
1485, Communities of Computing: Computer Science and Society in the ACM, Thomas J Misa,
1486, Invitation to Computer Science (Lab Manual) / With 3.5&quot; Disk, G. Michael Schneider; Sara Baase; Judith L. Gersting, 1995
1487, Computer Science: Information Technology Coursebook 7, Sangeeta Panchal; Alka Sabharwal,
1488, Combinatorial Algorithms, Albert Nijenhuis; Herbert S. Wilf, 1976
1489, Computer Science and Its Applications: Ubiquitous Information Technologies, James J. Park; Ivan Stojmenović; Hwa Young Jeong, 2014
1490, Concepts of Proof in Mathematics+ Philosophy+ and Computer Science, Dieter Probst; Peter Schuster, 2016
1491, Itcs 16 7th Innovations in Theortical Computer Science, Itcs 16 Conference Committee,
1492, CBSE Chapterwise Questions - Answers Computer Science, Anil Joshi; Aparna Jain,
1493, Programming With C++ : A Computer Science Tapestry, Astrachan Owen,
1494, Computer Science in Perspective: Essays Dedicated to Thomas Ottmann, Rolf Klein, 2003
1495, Discrete Mathematics for Computer Science Preliminary Edition, David Liben-Nowell,
1496, Comprehensive CBSE Computer Science with C++ Class XI, J.B. Dixit,
1497, Logics of Programs: Lecture Notes in Computer Science, Edmund Clarke, 1984
1498, Practice Workbook - Computer Science and IT for GATE 2015, Ranshu Dwivedi,
1499, Fundamentals of Information Systems: Computer Science+ Information Technology, Cram101 Textbook Reviews,
1500, Operator Calculus on Graphs: Theory and Applications in Computer Science, René Schott; G. Stacey Staples, 2012
1501, Understanding I.S.C. Computer Science Class - XI, V.K. Pandey; D.K. Dey,
1502, Click Start 7: Computer Science For Schools, Anjna Virmani,
1503, From Practical Reason to Legal Computer Science, Alberto Artosi,
1504, Itcs 14 - Innovations on Theoretical Computer Science, Itcs 14 Conference Committee,
1505, Computer Science And Multiple Valued Logic: Theory And Applications, David C. Rine, 1984
1506, Current Trends in Theoretical Computer Science: Essays and Tutorials, Arto Salomaa; Grzegorz Rozenberg, 1993
1507, Olympiad Excellence Guide for Computer? Science, Inna Jha,
1508, Navigate 2 Advantage Access for Computer Science Illuminated, Nell Dale; John Lewis, 2015
1509, Advances in Intelligent Control Systems and Computer Science, Loan Dumitrache, 2012
1510, Theoretical Foundations of Computer Sciences, Shrikant Satarkar; Sachin Agrawal,
1511, Computational Artifacts: Towards a Philosophy of Computer Science, Raymond Turner,
1512, How to Program: Computer Science Concepts and Python Exercises, John Keyser,
1513, It Kids CBSE Edition Book 12 - Computer Science, It,
1514, It Kids CBSE Edition Book 11 - Computer Science, It,
1515, Probability and Statistics with Reliability+ Queuing+ and Computer Science Applications, Charlie Pierce,
1516, Nust School of Electrical Engineering and Computer Science, Jesse Russell; Ronald Cohn,
1517, Cambridge International as and a Level Computer Science Coursebook, Sylvia Langfield; Dave Duddell,
1518, Nthu College of Electrical Engineering and Computer Science, Jesse Russell; Ronald Cohn,
1519, GATE 2019 Guide Computer Science And Information Technology, GK PUBLICATION,
1520, Barron&#39;s AP Computer Science A Flash Cards, Roselyn Teukolsky M.S.,
1521, S. Chand’s Computer Science for Class 11, Dheeraj Mehrotra,
1522, It Kids CBSE Edition Book 12 - Computer Science, It,
1523, It Kids CBSE Edition Book 11 - Computer Science, It,
1524, 5 Steps to a 5: AP Computer Science A 2019, Dean R. Johnson,
1525, MCQS IN COMPUTER SCIENCE UNBOUND 1 JAN 2015, B.L.SHIVAKUMAR,
1526, AP Computer Science Principles Student&#39;s Solutions Manual, Leon Schram,
1527, Probability and Statistics with Reliability+ Queuing+ and Computer Science Applications, Charlie Pierce,
1528, Objectives Of Computer Science And Information Technology 2015, GKP,
1529, Theory of Semirings with Applications in Mathematics and Theoretical Computer Science, Jonathan S. Golan,
1530, Encyclopedia of Computer Science and Technology: Supplement 26, Allen  Kent; James G. Williams; Carolyn M. Hall, 1999
1531, A Machine Made This Book: Ten Sketches of Computer Science, John Whitington,
1532, Objective Computer Science and Information Technology For Competitive Examinations, Jushta Jaiswal,
1533, Understanding I.S.C. Computer Science Class - XII, V.K. Pandey; D.K. Dey,
1534, 8086/8088 Architecture and Programming, J. Triol; Jean-Michel Trio, 1985
1535, Computer Science: Information Technology Coursebook 6, Sangeeta Panchal; Alka Sabharwal,
1536, Practice Material for ISC Computer Science Class - XII, V.K. Pandey; D.K. Dey,
1537, GATE Guide Computer Science/Information Technology 2018, GKP,
1538, A Second Course in Computer Science with Modula-2, Daniel D. McCracken; William Salmon, 1987
1539, Distributed Constraint Logic Programming, Ho-Fung Leung,
1540, Illustrated computer science dictionary for young people, Donald D.  Spencer, 1982
1541, OCR Gcse (9-1) Computer Science, S Robson; P M Heathcote,
1542, UGC/NET/SLET Computer Science &amp; Applications, GKP,
1543, Symbolic and Algebraic Computation, P. Gianni, 1989
1544, Management of ADP systems+, Marvin M. Wofsey, 1973
1545, Design Patterns in C#: Computer Science Interview Series, Vaskaran Sarcar, 2015
1546, Documentation manual, J.A. Van Duyn, 1972
1547, Experiencing MIS: Computer Science+ Information Technology, Cram101 Textbook Reviews,
1548, An Invitation to Computer Science: Laboratory Manual+ Windows Version, Kenneth Alfred Lambert; G. Michael Schneider, 1999
1549, ISC COMPUTER SCIENCE Model specimen Papers, Panel of Author,
1550, Wiley Acing the Gate: Computer Science and Information Technology, ANIL KUMAR VERMA; Gaurav Sharma; Kuldeep Singh,
1551, america daigakuin ryugaku computer science, sakaaai, 2013
1552, Logo And Models Of Computation: An Introduction To Computer Science, Michael E. Burke,
1553, A Level Computer Science for OCR Teaching Programming, Laura Dixon, 2015
1554, Sofsem 2011: Theory and Practice of Computer Science, Ivana Cern; Tibor Gyim Thy; Juraj Hromkovic, 2011
1555, C++ Lab Manual for Computer Science: An Overview, Mary P. Boelk, 1997
1556, C++ Lab Manual for Computer Science: An Overview, Mary P. Boelk, 1997
1557, Semantics in Databases, Bernhard Thalheim; Leonid Libkin, 1998
1558, Computer Science: Information Technology Coursebook 2, Sangeeta Panchal; Alka Sabharwal,
1559, International E-Conference on Computer Science, E. Simos; Theodore Simos; G. G. Psihoyios, 2005
1560, Graduate Programs in Computer Science and Information Technology, Peterson&#39;s, 2010
1561, Equations+ Models+ And Programs: A Mathematical Introduction To Computer Science, Thomas J. Myers, 1988
1562, Current Trends in Theoretical Computer Science: Essays and Tutorials, G. Rozenber; Grzegorz Rozenberg; Arto Salomaa, 1993
1563, GATE Computer Science and Information Technology 2019, Trishna Knowledge Systems,
1564, E Text To Accompany A Computer Science Tapestry, Owen Astrachan,
1565, Pascal-Sc, Ulrich W. Kulisch, 1987
1566, Click Start 4 Primary: Computer Science for Schools, Anjna Virmani; Shalini Harisukh,
1567, Introduction to Compiler Design, Torben Aegidius Mogensen, 2011
1568, Dependency Theories and Applications in Computer Science and Mathematics, Madalynn Lerma, 2012
1569, Programming Language Pragmatics: Computer science+ Software engineering, Cram101 Textbook Reviews,
1570, Gate Guide Computer Science and Information Technology 2019, GKP,
1571, Auditing It Infrastructures For Compliance: Computer science+ Information technology, Cram101 Textbook Reviews, 2012
1572, 5 Steps to a 5: AP Computer Science a 2019, Dean R Johnson,
1573, Graduate Assistantship Directory in the Computer Sciences 1982 1983, ACM, 1983
1574, Click Start 5 Primary: Computer Science for Schools, Anjna Virmani; Shalini Harisukh,
1575, Olympiad Excellence Guide For Computer Science Class 4, Inna Jha,
1576, Advances in Chinese Computer Science+ Volume 2, Kongshi Xu, 1989
1577, Ewa Orlowska on Relational Methods in Logic and Computer Science, Joanna Golińska-Pilarek; Michal Zawidzki,
1578, Computer Science Pure and Simple Book 2, Phyllis Wheeler; Don Sleeth,
1579, Nominal Sets, Andrew M. Pitts,
1580, Advanced Computer Science: For the IB Diploma Program, MSc KOSTAS DIMITRIOU MARKOS HATZITASKOS,
1581, A Complete Guide to the GATE - Computer Science Engineering, Trishna Knowledge Systems,
1582, Annual Review of Computer Science+ Volume 2: 1987, Joseph F. Traub; Barbara J. Grosz, 1987
1583, Comprehensive CBSE Computer Science with C++ XII, J. B. Dixit,
1584, Together with Computer Science (C++) for Class XII, Reeta Sahoo; Gagan Sahoo,
1585, DRDO Technical Assistant Computer Science Diploma Level, Parashar Lal; Arora,
1586, Computer Science: Programming in FORTRAN IV with Watfor-Watfiv, Alexandra I. Forsythe,
1587, Olympiad Excellence Guide for Computer Science, Joby Jose,
1588, Advances in Computer Science and Its Applications: CSA 2013, Mohammad S. Obaidat; Hwa-Young Jeong; Neil Y. Yen, 2013
1589, Olympied Excellence Guide For Computer Science Class 3, Inna Jha,
1590, Computability and Decidability: An Introduction for Students of Computer Science, Jacques Loeckx, 1972
1591, Modern Security Methods in Applied Computer Science, Ch Rupa; P S Avadhani,
1592, Objective Computer Science: 20 Test Papers, RPH Editorial Board,
1593, Advances in Computer Science and Information Engineering: Volume 1, David Jin; Sally Lin, 2012
1594, Information Technology and Computer Science for Cape and College Students, O&#39;Neil Duncan,
1595, Logic and Language Models for Computer Science: 3rd Edition, Dana Richards,
1596, DRDO Technical Assistant Computer Science Diploma Level, Parashar Lal; Arora,
1597, Computer Science: Programming in FORTRAN IV with Watfor-Watfiv, Alexandra I. Forsythe,
1598, Olympiad Excellence Guide for Computer Science, Joby Jose,
1599, Advances in Computer Science and Its Applications: CSA 2013, Mohammad S. Obaidat; Hwa-Young Jeong; Neil Y. Yen, 2013
1600, Olympied Excellence Guide For Computer Science Class 3, Inna Jha,
1601, Computability and Decidability: An Introduction for Students of Computer Science, Jacques Loeckx, 1972
1602, Modern Security Methods in Applied Computer Science, Ch Rupa; P S Avadhani,
1603, Objective Computer Science: 20 Test Papers, RPH Editorial Board,
1604, Advances in Computer Science and Information Engineering: Volume 1, David Jin; Sally Lin, 2012
1605, Information Technology and Computer Science for Cape and College Students, O&#39;Neil Duncan,
1606, Logic and Language Models for Computer Science: 3rd Edition, Dana Richards,
1607, Sentiment Analysis for PTSD Signals, Vadim Kagan; Edward Rossini; Demetrios Sapounas, 2013
1608, Encyclopedia of Computer Science and Technology+ Volume 16: Index, Jack Belzer; Allen  Kent; Albert G. Holzman, 1981
1609, Handbook of Theoretical Computer Science - 2 Vol Set, Jan Van Leeuwen, 1990
1610, An Object-Oriented Introduction to Computer Science Using Eiffel, Richard S. Wiener, 1996
1611, Probability and Statistics with Reliability+ Queuing and Computer Science Applications, Trivedi,
1612, Encyclopedia of Computer Science and Technology+ Volume 44, Allen  Kent; James G. Williams, 2001
1613, Bioinformatics for Computer Science: Foundations for Molecular Biology, Kenneth Revett, 2011
1614, CBSE All in One COMPUTER SCIENCE Class 12th, Minni Goyal K Ganesh Ayyer,
1615, Wireless Sensor Networks. Lecture Notes in Computer Science., Koen Langendoen; Thiemo Voigt, 2007
1616, Wireless Sensor Networks. Lecture Notes in Computer Science., Koen Langendoen; Thiemo Voigt, 2007
1617, Modeling Trust Context in Networks, Sibel Adali, 2014
1618, Best Answers for Is a Career in Computer Science Really Worth It?, Barbara Boone,
1619, Introduction to Computer Science: A Textbook for Beginners in Informatics, Gilbert Brands, 2013
1620, Logic in Computer Science (Lics &#39;99) 14th Symposium, Institute of Electrical and Electronics Engineers; Institute of Electrical and Electronics Engineers, 1999
1621, Edexcel Computer Science for GCSE Student Book, Steve Cushing,
1622, International Journal of Engineering and Applied Computer Science, E R Press,
1623, Gate Computer Science and Information Technology 2016, Trishna Knowledge Systems,
1624, SOFSEM 2011: Theory and Practice of Computer Science, Ivana Černá, 2011
1625, C++ For Engineers And Scientists, Eric Foxley,
1626, Programming Language Concepts, Peter Sestoft,
1627, Semirings: Algebraic Theory and Applications in Computer Science, U Hebisch, 1998
1628, Bengali-English English-Bengali Computer Science Glossary, A.A. Munir Hasan, 2010
1629, Combinatorial Optimization in Applied Mathematics and Theoretical Computer Science, Mathew Crowe, 2012
1630, Edexcel GCSE Computer Science Student Book, Steve Cushing, 2014
1631, Interactive 3d Computer Sciences Disks for the IBM and Compatibles, Leendert Ammeraal, 1988
1632, HTET PGT Computer Science Level-3, Arihant Experts,
1633, Computer Science: Information Technology Coursebook 8, Sangeeta Panchal; Alka Sabharwal,
1634, Supp- C++ Prog Chapter Computer Science Illum, Nell B. Dale, 2002
1635, Correctness and Completeness, T. Streicher, 1991
1636, Symposium on Logic in Computer Science (Lics 2000) Proceedings, Institute of Electrical and Electronics Engineers, 2000
1637, Mathematical Foundation Of Computer Science(Jntu) 3rd Edition, Dr. D. S. C,
1638, Z Guide for Beginners, Mike McMorran; Steve Powell, 1993
