ID, name, author, year
841, Distributed applications and interoperable systems : 10th IFIP WG 6.1 international conference+ DAIS 2010+ Amsterdam+ the Netherlands+ June 7-9+ 2010 ; proceedings, , 2010
842, Dependency structures and lexicalized grammars : an algebraic approach, Kuhlmann+ Marco, 2010
843, Algorithmic learning theory : 21st international conference+ ALT 2010+ Canberra+ Australia+ October 6-8+ 2010 : proceedings, , 2010
844, Multiagent system technologies : 8th German conference+ MATES 2010+ Leipzig+ Germany+ September 27-29+ 2010 : proceedings, , 2010
845, New frontiers in artificial intelligence : JSAI-isAI 2009 workshops+ LENLS+ JURISIN+ KCSD+ LLLL+ Tokyo+ Japan+ November 19-20+ 2009 : revised selected papers, , 2010
846, Artificial intelligence : methodology+ systems+ and applications : 14th international conference+ AIMSA 2010+ Varna+ Bulgaria+ September 8-10+ 2010 : proceedings, , 2010
847, KI 2010 : advances in artificial intelligence : 33rd Annual German Conference on AI+ Karlsruhe+ Germany+ September 21-24+ 2010 : proceedings, , 2010
848, Scalable uncertainty management : 4th international conference+ SUM 2010+ Toulouse+ France+ September 27-29+ 2010 : proceedings, , 2010
849, Agent and multi-agent systems : technologies and applications : 4th KES international symposium+ KES-AMSTA 2010+ Gdynia+ Poland+ June 23-25+ 2010 : proceedings, , 2010
850, Requirements engineering : foundation for software quality : 16th international working conference+ REFSQ 2010+ Essen+ Germany+ June 30-July 2+ 2010 : proceedings, , 2010
851, New modeling concepts for today's software processes : International Conference on Software Process+ ICSP 2010+ Paderborn+ Germany+ July 8-9+ 2010 : proceedings, , 2010
852, Active media technology : 6th international conference+ AMT 2010+ Toronto+ Canada+ August 28-30+ 2010 : proceedings, , 2010
853, Haptic and audio interaction design : 5th international workshop+ HAID 2010+ Copenhagen+ Denmark+ September 16-17+ 2010 : proceedings, , 2010
854, Information systems security : 6th international conference+ ICISS 2010+ Gandhinagar+ India+ December 17-19+ 2010 : proceedings, , 2010
855, Advanced data mining and applications : 6th international conference+ ADMA 2010+ Chongqing+ China+ November 19-21+ 2010 : proceedings, , 2010
856, The mathematics of language : 10th and 11th biennial conference+ MOL 10+ Los Angeles+ CA+ USA+ July 28-30+ 2007 and MOL 11+ Bielefeld+ Germany+ August 20-21+ 2009 : revised..., , 2010
857, Logic+ language and meaning : 17th Amsterdam Colloquium+ Amsterdam+ The Netherlands+ December 16-18+ 2009 : revised selected papers, , 2010
858, Web-age information management : 11th international conference+ WAIM 2010+ Jiuzhaigou+ China+ July 15-17+ 2010 : proceedings, , ©2010
859, Search computing : challenges and directions, , c2010
860, Pattern recognition in bioinformatics : 5th IAPR international conference+ PRIB 2010+ Nijmegen+ The Netherlands+ September 22-24+ 2010 : proceedings, , 2010
861, Programming multi-agent systems : 7th international workshop+ ProMAS 2009+ Budapest+ Hungary+ May 10-15+ 2009 : revised selected papers, , 2010
862, Data privacy management and autonomous spontaneous security : 4th international workshop+ DPM 2009+ and second international workshop+ SETOP 2009+ St. Malo+ France+ September..., , c2010
863, Advanced information systems engineering : 22nd international conference+ CAiSE 2010+ Hammamet+ Tunisia+ June 7-9+ 2010 : proceedings, , 2010
864, Privacy enhancing technologies : 10th international symposium+ PETS 2010+ Berlin+ Germany+ July 21-23+ 2010 : proceedings, , 2010
865, Verified software : theories+ tools+ experiments : third international conference+ VSTTE 2010+ Edinburgh+ UK+ August 16-19+ 2010 : proceedings, , 2010
866, Entertainment for education : digital techniques and systems : 5th International Conference on E-learning and Games+ Edutainment 2010+ Changchun+ China+ August 16-18+ 2010 :..., , 2010
867, Agents and data mining interaction : 6th International Workshop on Agents and Data Mining Interaction+ ADMI 2010+ Toronto+ ON+ Canada+ May 11+ 2010 : revised selected papers, , 2010
868, Principles of practice in multi-agent systems : 12th international conference+ PRIMA 2009+ Nagoya+ Japan+ December 14-16+ 2009+ proceedings, , 2010
869, AI 2010 : advances in artificial intelligence : 23rd Australasian Joint Conference+ Adelaide+ Australia+ December 7-10+ 2010 : proceedings, , 2010
870, Intelligent tutoring systems : 10th international conference+ ITS 2010+ Pittsburgh+ PA+ USA+ June 14-18+ 2010 : proceedings, , 2010
871, Software language engineering : second international conference+ SLE 2009+ Denver+ CO+ USA+ October 5-6+ 2009 : revised selected papers, , c2010
872, Web engineering : 10th international conference+ ICWE 2010+ Vienna+ Austria+ July 5-9+ 2010 : proceedings, , 2010
873, Scientific and statistical database management : 22nd international conference+ SSDBM 2010+ Heidelberg+ Germany+ June 30-July 2+ 2010 : proceedings, , 2010
874, From active data management to event-based systems and more : papers in honor of Alejandro Buchmann on the occasion of his 60th birthday, , c2010
875, Electronic government : 9th IFIP WG 8.5 international conference+ EGOV 2010+ Lausanne+ Switzerland+ August 29-September 2+ 2010 : proceedings, , 2010
876, Research and advanced technology for digital libraries : 14th European Conference+ ECDL 2010+ Glasgow+ UK+ September 6-10+ 2010 : proceedings, , 2010
877, Object databases : second international conference+ ICOODB 2009+ Zurich+ Switzerland+ July 1-3+ 2009 : revised papers, , 2010
878, Database and XML technologies : 7th International XML Database Symposium+ XSym 2010+ Singapore+ September 17+ 2010 : proceedings, , 2010
879, Current topics in artificial intelligence : 13th Conference of the Spanish Association for Artificial Intelligence+ CAEPIA 2009+ Seville+ Spain+ November 9-13+ 2009 : selected..., , 2010
880, Intelligent robotics and applications : third international conference+ ICIRA 2010+ Shanghai+ China+ November 10-12+ 2010+ proceedings. Part II, , 2010
881, New frontiers in applied data mining : PAKDD 2009 international workshops+ Bangkok+ Thailand+ April 27-30+ 2009 : revised selected papers, , 2010
882, From animals to animats 11 : 11th International Conference on Simulation of Adaptive Behavior+ SAB 2010+ Paris - Clos Lucé+ France+ August 25-28+ 2010 : proceedings, , 2010
883, Spatial cognition VII : International Conference Spatial Cognition 2010+ Mt. Hood/Portland+ OR+ USA+ August 15-19+ 2010 : proceedings, , 2010
884, Recent advances in the message passing interface : 17th European MPI User's Group Meeting+ EuroMPI 2010+ Stuttgart+ Germany+ September 12-15+ 2010 : proceedings, , 2010
885, Pairing-based cryptography--Pairing 2010 : 4th international conference+ Yamanaka Hot Spring+ Japan+ December 13-15+ 2010 : proceedings, , 2010
886, Networked services and applications - engineering+ control and management : 16th EUNICE/IFIP WG 6.6 Workshop+ EUNICE 2010+ Trondheim+ Norway+ June 28-30+ 2010 ; proceedings, , c2010
887, Entertainment computing - ICEC 2010 : 9th international conference+ ICEC 2010+ Seoul+ Korea+ September 8-11+ 2010 : proceedings, , 2010
888, HCI in work and learning+ life and leisure : 6th symposium of the Workgroup Human-Computer Interaction and Usability Engineering+ USAB 2010+ Klagenfurt+ Austria+ November 4-5+..., , c2010
889, Adaptive and learning agents : second workshop+ ALA 2009+ held as part of the AAMAS 2009 conference in Budapest+ Hungary+ May 12+ 2009 : revised selected papers, , c2010
890, Machine learning and knowledge discovery in databases : European conference+ ECML PKDD 2010+ Barcelona+ Spain+ September 20-24+ 2010 : proceedings, , 2010
891, Knowledge representation for health-care : data+ processes and guidelines : AIME 2009 workshop KR4HC 2009+ Verona+ Italy+ July 19+ 2009 : revised selected papers, , ©2010
892, Haptics : generating and perceiving tangible sensations : international conference+ EuroHaptics 2010+ Amsterdam+ July 8-10+ 2010 : proceedings, , ©2010
893, Middleware 2010 : ACM/IFIP/USENIX 11th International Middleware Conference+ Bangalore+ India+ November 29-December 3+ 2010 : proceedings, , 2010
894, Active media technology : 6th international conference+ AMT 2010+ Toronto+ Canada+ August 28-30+ 2010 : proceedings, , ©2010
895, Languages+ methodologies+ and development tools for multi-agent systems : second international workshop+ LADS 2009+ Torino+ Italy+ September 7-9+ 2009 : revised selected papers, , c2010
896, Haptics : generating and perceiving tangible sensations+ International Conference+ EuroHaptics 2010+ Amsterdam+ July 8-10+ 2010. Proceedings. Part II, , c2010
897, Foundations of information and knowledge systems : 6th International Symposium+ Folks 2010+ Sofia+ Bulgaria+ February 15-19+ 2009 : proceedings, , c2010
898, Electronic participation : second IFIP WG 8.5 international conference+ ePart 2010+ Lausanne+ Switzerland+ August 29-September 2+ 2010 : proceedings, , 2010
899, Testing--practice and research techniques : 5th international academic and industrial conference+ TAIC PART 2010+ Windsor+ UK+ September 3-5+ 2010 : proceedings, , 2010
900, Collaboration and technology : 16th international conference+ CRIWG 2010+ Maastricht+ The Netherlands+ September 20-23+ 2010 : proceedings, , 2010
901, Cooperative design+ visualization+ and engineering : 7th international conference+ CDVE 2010+ Calvia+ Mallorca+ Spain+ September 19-22+ 2010 : proceedings, , 2010
902, Advances in multimedia information processing--PCM 2010 : 11th Pacific Rim Conference on Multimedia+ Shanghai+ China+ September 21-24+ 2010 : proceedings, , 2010
903, Foundational and practical aspects of resource analysis : first international workshop+ FOPARA 2009+ Eindhoven+ the Netherlands+ November 6+ 2009 : revised selected papers, , 2010
904, Database systems for advanced applications : 15th international conference+ DASFAA 2010+ Tsukuba+ Japan+ April 1-4+ 2010 : proceedings. Part I, , c2010
905, Database systems for advanced applications : 15th international conference+ DASFAA 2010+ Tsukuba+ Japan+ April 1-4+ 2010 : proceedings. Part II, , c2010
906, Electronic government and the information systems perspective : first international conference+ EGOVIS 2010+ Bilbao+ Spain+ August 31-September 2+ 2010 : proceedings, , 2010
907, Advances in multimedia information processing - PCM 2010 : 11th Pacific Rim Conference on Multimedia+ Shanghai+ China+ September 21-24+ 2010+ proceedings. Part I, , 2010
908, Digital heritage : third international conference+ EuroMed 2010+ Lemessos+ Cyprus+ November 8-13+ 2010 : proceedings, , 2010
909, On the move to meaningful internet systems: OTM 2010 workshops : confederated international workshops and posters: AVYTAT+ ADI+ DATAVIEW+ EI2N+ ISDE+ MONET+ OnToContent+ ORM+..., , 2010
910, Database systems for advanced applications : 15th international conference+ DASFAA 2010+ international workshops+ GDM+ BenchmarX+ MCIS+ SNSMW+ DIEW+ UDM+ Tsukuba+ Japan+ April..., , 2010
911, Adaptive multimedia retrieval : identifying+ summarizing+ and recommending image and music : 6th international workshop+ AMR 2008+ Berlin+ Germany+ June 26-27+ 2008 : revised..., , 2010
912, Data warehousing and knowledge discovery : 12th international conference+ DaWaK 2010+ Bilbao+ Spain+ August/September 2010 : proceedings, , 2010
913, Information technology in bio- and medical informatics--ITBAM 2010 : first international conference+ Bilbao+ Spain+ September 1-2+ 2010 : proceedings, , 2010
914, Sustaining TEL : from innovation to learning and practice : 5th European Conference on Technology Enhanced Learning+ EC-TEL 2010+ Barcelona+ Spain+ September 28-October 1+ 2010..., , 2010
915, Web reasoning and rule systems : fourth international conference+ RR 2010+ Bressanone/Brixen+ Italy+ September 22-24+ 2010 : proceedings, , 2010
916, Data management in grid and peer-to-peer systems : third international conference+ Globe 2010+ Bilbao+ Spain+ September 1-2+ 2010 : proceedings, , 2010
917, Advances in knowledge discovery and data mining : 14th Pacific-Asia Conference+ PAKDD 2010+ Hyderabad+ India+ June 21-24+ 2010 ; proceedings. Part II, , ©2010
918, Data privacy management and autonomous spontaneous security : 4th international workshop+ DPM 2009+ and second international workshop+ SETOP 2009+ St. Malo+ France+ September..., , ©2010
919, Model-based engineering of embedded real-time systems : International Dagstuhl Workshop+ Dagstuhl Castle+ Germany+ November 4-9+ 2007 : revised selected papers, , 2010
920, Information and communications security : 12th international conference+ ICICS 2010+ Barcelona+ Spain+ December 15-17+ 2010 : proceedings, , 2010
921, Formal concept analysis : 8th international conference+ ICFCA 2010+ Agadir+ Morocco+ March 15-18+ 2010 : proceedings, , c2010
922, Algorithmic game theory : third international symposium+ SAGT 2010+ Athens+ Greece+ October 18-20+ 2010 : proceedings, , 2010
923, Collaboration and technology : 16th international conference+ CRIWG 2010+ Maastricht+ the Netherlands+ September 20-23+ 2010 : proceedings, , 2010
924, Objects and databases : third international conference+ ICOODB 2010+ Frankfurt/Main+ Germany+ September 28-30+ 2010 : proceedings, , 2010
925, Database and XML technologies : 7th International XML Database Symposium+ XSym 2010+ Singapore+ September 17+ 2010 : proceedings, , 2010
926, Social informatics : second international conference+ SocInfo 2010+ Laxenburg+ Austria+ October 27-29+ 2010 : proceedings, , 2010
927, New frontiers in artificial intelligence : JSAI-isAI 2009 workshops+ LENLS+ JURISIN+ KCSD+ LLLL+ Tokyo+ Japan+ November 19-20+ 2009 : revised selected papers, , 2010
928, Case-based reasoning research and development : 18th International Conference on Case-Based Reasoning+ ICCBR 2010+ Alessandria+ Italy+ July 19-22+ 2010 : proceedings, , ©2010
929, Semantic processing of legal texts : where the language of law meets the law of language, , ©2010
930, Haptic and audio interaction design : 5th international workshop+ HAID 2010+ Copenhagen+ Denmark+ September 16-17+ 2010+ proceedings, , 2010
931, Resource discovery : second international workshop+ RED 2009+ Lyon+ France+ August 28+ 2009 : revised papers, , ©2010
932, Adaptive multimedia retrieval : identifying+ summarizing+ and recommending image and music+ 6th International Workshop+ AMR 2008+ Berlin+ Germany+ June 26-27+ 2008+ Revised..., , ©2010
933, Advances in databases and information systems : 14th East European conference+ ADBIS 2010+ Novi Sad+ Serbia+ September 20-24+ 2010 : proceedings, , 2010
934, Logics in artificial intelligence : 12th European conference+ JELIA 2010+ Helsinki+ Finland+ September 13-15+ 2010 : proceedings, , 2010
935, Advances in multidisciplinary retrieval : First Information Retrieval Facility Conference+ IRFC 2010+ Vienna+ Austria+ May 31+ 2010 ; proceedings, , ©2010
936, Electronic participation : Second IFIP WG 8.5 International Conference+ ePart 2010+ Lausanne+ Switzerland+ August 29 - September 2+ 2010 : proceedings, , 2010
937, Ethics and policy of biometrics : third International Conference on Ethics and Policy of Biometrics and International Data Sharing+ ICEB 2010+ Hong Kong+ January 4-5+ 2010 :..., , ©2010
938, Programming languages and systems : 8th Asian symposium+ APLAS 2010+ Shanghai+ China+ November 28-December 1+ 2010 : proceedings, , 2010
939, Persuasive technology : 5th international conference+ PERSUASIVE 2010+ Copenhagen+ Denmark+ June 7-10+ 2010 : proceedings, , 2010
940, Conceptual modeling--ER 2010 : 29th International Conference on Conceptual Modeling+ Vancouver+ BC+ Canada+ November 1-4+ 2010 : proceedings, , 2010
941, Testing--practice and research techniques : 5th international academic and industrial conference+ TAIC PART 2010+ Windsor+ UK+ September 3-5+ 2010 : proceedings, , ©2010
942, Advances in nonlinear speech processing : International conference on Nonlinear Speech Processing+ NOLISP 2009+ Vic+ Spain+ June 25-27+ 2009 : revised selected papers, , c2010
943, Multilingual and multimodal information access evaluation : International Conference of the Cross-Language Evaluation Forum+ CLEF 2010+ Padua+ Italy+ September 20-23+ 2010...., , 2010
944, A 25-Year perspective on logic programming : achievements of the Italian Association for Logic Programming+ GULP, , ©2010
945, Smart card research and advanced application : 9th IFIP WG 8.8/11.2 international conference+ CARDIS 2010+ Passau+ Germany+ April 14-16+ 2010 : proceedings, , c2010
946, Advances in multidisciplinary retrieval : first Information Retrieval Facility Conference+ IRFC 2010+ Vienna+ Austria+ May 31+ 2010 : proceedings, , 2010
947, Information security theory and practices : security and privacy of pervasive systems and smart devices : 4th IFIP WG 11.2 international workshop+ WISTP 2010+ Passau+ Germany+..., , c2010
948, Business process management : 8th international conference+ BPM 2010+ Hoboken+ NJ+ USA+ September 13-16+ 2010 : proceedings, , 2010
949, Languages+ methodologies+ and development tools for multi-agent systems : second international workshop+ LADS 2009+ Torino+ Italy+ September 7-9+ 2009 ; revised selected papers, , ©2010
950, Advanced information systems engineering : 22nd international conference+ CAiSE 2010+ Hammamet+ Tunisia+ June 7-9+ 2010 : proceedings, , ©2010
951, Communications and multimedia security : 11th IFIP TC 6/TC ; 11 international conference+ CMS 2010+ Linz+ Austria+ May 31 - June 2+ 2010 ; proceedings, , ©2010
952, Modelling foundations and applications : 6th European conference+ ECMFA 2010+ Paris+ France+ June 15-18+ 2010 : proceedings, , 2010
953, Cooperative design+ visualization+ and engineering : 7th international conference+ CDVE 2010+ Calvia+ Mallorca+ Spain+ September 19-22+ 2010+ proceedings, , 2010
954, Web information systems and mining : international conference+ WISM 2010+ Sanya+ China+ October 23-24+ 2010 : proceedings, , 2010
955, Web reasoning and rule systems : Fourth International Conference+ RR 2010+ Bressanone/Brixen+ Italy+ September 22-24+ 2010. proceedings, , ©2010
956, Research into practice - reality and gaps : 6th International Conference on the Quality of Software Architectures+ QoSA 2010+ Prague+ Czech Republic+ June 23-25+ 2010 ;..., , 2010
957, Component-based software engineering : 13th international symposium+ CBSE 2010+ Prague+ Czech Republic+ June 23-25+ 2010 ; proceedings, , ©2010
958, Software language engineering : second international conference+ SLE 2009+ Denver+ CO+ USA+ October 5-6+ 2009 : revised selected papers, , ©2010
959, Fundamentals of software engineering : third IPM international conference+ FSEN 2009+ Kish Island+ Iran+ April 15-17+ 2009 : revised selected papers, , ©2010
960, Intelligent tutoring systems : 10th international conference+ ITS 2010+ Pittsburgh+ PA+ USA+ June 14-18+ 2010 ; proceedings. Part 1, , ©2010
961, Advances in artificial intelligence : 23rd Canadian Conference on Artificial Intelligence+ Canadian AI 2010+ Ottawa+ Canada+ May 31-June 2+ 2010 : proceedings, , 2010
962, Advances in nonlinear speech processing : International conference on Nonlinear Speech Processing+ NOLISP 2009+ Vic+ Spain+ June 25-27+ 2009 : revised selected papers, , ©2010
963, Experimental algorithms : 9th international symposium+ SEA 2010+ Ischia Island+ Naples+ Italy+ May 20-22+ 2010 : proceedings, , c2010
964, Software product lines : going beyond : 14th international conference+ SPLC 2010+ Jeju Island+ South Korea+ September 13-17+ 2010 : proceedings, , 2010
965, Web engineering : 10th International Conference+ ICWE 2010+ Vienna Austria+ July 5-9+ 2010. Proceedings, , ©2010
966, Current trends in web engineering : 10th International Conference on Web Engineering+ ICWE 2010 Workshops+ Vienna+ Austria+ July 2010 : revised selected papers, , 2010
967, Agent and multi-agent systems: technologies and applications : 4th KES International Symposium+ KES-AMSTA 2010+ Gdynia+ Poland+ June 23-25+ 2010 ; proceedings. Part I, , ©2010
968, Electronic government : 9th IFIP WG 8.5 international conference+ EGOV 2010+ Lausanne+ Switzerland+ August 29-September 2+ 2010 : proceedings, , 2010
969, Information retrieval technology : 6th Asia Information Retrieval Societies Conference+ AIRS 2010+ Taipei+ Taiwan+ December 1-3+ 2010 : proceedings, , 2010
970, Advances in information retrieval : 32nd European Conference on IR Research+ ECIR 2010+ Milton Keynes+ UK+ March 28-31+ 2010 : proceedings, , 2010
971, Database systems for advanced applications : 15th international conference+ DASFAA 2010+ Tsukuba+ Japan+ April 1-4+ 2010 : proceedings, , ©2010
972, Replication : theory and practice, , ©2010
973, Computational logic in multi-agent systems : 11th international workshop+ CLIMA XI+ Lisbon+ Portugal+ August 16-17+ 2010 : prpceedings, , 2010
974, Contemporary poetry and contemporary science, , 2006
975, Science askew : a light-hearted look at the scientific world, Simanek+ Donald E., ©2002
976, Mobile computing+ applications+ and services : first international ICST conference ; revised selected papers+ MobiCASE 2009+ San Diego+ CA+ USA+ October 26-29+ 2009, , 2010
977, Patterns in the sand : computers+ complexity+ and everyday life, Bossomaier+ Terry R. J., 1998
978, Complexity+ entropy+ and the physics of information : the proceedings of the 1988 Workshop on Complexity+ Entropy+ and the Physics of Information held May-June+ 1989+ in Santa..., , ©1990
979, The Visual mind : art and mathematics, , ©1993
980, Logic and the foundations of game and decision theory--LOFT 8 : 8th international conference+ Amsterdam+ The Netherlands+ July 3-5+ 2008 : revised selected papers, , 2010
981, Coordination+ organizations+ institutions+ and norms in agent systems V : COIN 2009 international workshops : COIN@AAMAS 2009+ Budapest+ Hungary+ May 2009 : COIN@IJCAI 2009+..., , 2010
982, On the move to meaningful internet systems--OTM 2010 : Confederated International Conferences+ CoopIS+ IS+ DOA and ODBASE+ Hersonissos+ Crete+ Greece+ October 25-29+ 2010 :..., , 2010
983, Multilingual information access evaluation : 10th Workshop of the Cross-Language Evaluation Forum+ CLEF 2009+ Corfu+ Greece+ September 30-October 2+ 2009 : revised selected..., , 2010
984, Aging friendly technology for health and independence : 8th International Conference on Smart Homes and Health Telematics+ ICOST 2010+ Seoul+ Korea+ June 22-24+ 2010 :..., , c2010
985, Networked services and applications--engineering+ control and management : 16th EUNICE/IFIP WG 6.6 Workshop+ EUNICE 2010+ Trondheim+ Norway+ June 28-30+ 2010 : proceedings, , 2010
986, Data and applications security and privacy XXIV : 24th annual IFIP WG 11.3 Working Conference+ Rome+ Italy+ June 21-23+ 2010 ; proceedings, , 2010
987, Coordination+ organizations+ institutions and norms in agent systems V : COIN 2009 international workshops+ COIN@AAMAS 2009+ Budapest+ Hungary+ May 2009+ COIN@IJCAI 2009+ July..., , 2010
988, On the move to meaningful internet systems : OTM 2010 Workshops : Confederated International Workshops and Posters+ AVYTAT+ ADI+ DATAVIEW+ EI2N+ ISDE+ MONET+ OnToContent+ ORM+..., , 2010
989, Focused retrieval and evaluation : 8th International Workshop of the Initiative for the Evaluation of XML Retrieval+ INEX 2009+ Brisbane+ Australia+ December 7-9+ 2009 : revised..., , c2010
990, Knowledge discovery from sensor data : second international workshop+ Sensor-KDD 2008+ Las Vegas+ NV+ USA+ August 24-27+ 2008 : revised selected papers, , c2010
991, Provenance and annotation of data and processes : third International Provenance and Annotation Workshop+ IPAW 2010+ Troy+ NY+ USA+ June 15-16+ 2010+ revised selected papers, , c2010
992, Multilingual and multimodal information access evaluation : International Conference of the Cross-Language Evaluation Forum+ CLEF 2010+ Padua+ Italy+ September 20-23+ 2010 :..., , 2010
993, The mathematics of language : 10th and 11th biennial conference+ MOL 10+ Los Angeles+ CA+ USA+ July 28-30+ 2007 and MOL 11+ Bielefeld+ Germany+ August 20-21+ 2009 : revised..., , 2010
994, The semantic web--ISWC 2010 : 9th International Semantic Web Conference+ ISWC 2010+ Shanghai+ China+ November 7-11+ 2010 : revised selected papers, , 2010
995, The semantic web: research and applications : 7th Extended Semantic Web Conference+ ESWC 2010+ Heraklion+ Crete+ Greece+ May 30 - June 3+ 2010 ; proceedings. Part II, , ©2010
996, Recent trends and developments in social software : International Conferences on Social Software+ BlogTalk 2008+ Cork+ Ireland+ March 3-4+ 2008+ and BlogTalk 2009+ Jeju Island+..., , 2010
997, New frontiers in applied data mining : PAKDD 2009 international workshops+ Bangkok+ Thailand+ April 27-30+ 2009 : revised selected papers, , 2010
998, Databases in networked information systems : 6th international workshop+ DNIS 2010+ Aizu-Wakamatsu+ Japan+ March 29-31+ 2010 : proceedings, , c2010
999, Focused retrieval and evaluation : 8th International Workshop of the Initiative for the Evaluation of XML Retrieval+ INEX 2009+ Brisbane+ Australia+ December 7-9+ 2009+ Revised..., , ©2010
1000, RoboCup 2009 : Robot Soccer World Cup XIII, , ©2010
1001, AI approaches to the complexity of legal systems : complex systems+ the semantic web+ ontologies+ argumentation+ and dialogue : international workshops AICOL-I/IVR-XXIV Beijing+..., , 2010
1002, Auditory display : 6th international symposium+ CMMR/ICAD 2009+ Copenhagen+ Denmark+ May 18-22+ 2009 : revised papers, , ©2010
1003, Information technology in bio- and medical informatics--ITBAM 2010 : first international conference+ Bilbao+ Spain+ September 1-2+ 2010 : proceedings, , 2010
1004, Persuasive technology : 5th international conference+ PERSUASIVE 2010+ Copenhagen+ Denmark+ June 7-10+ 2010 ; proceedings, , ©2010
1005, Aging friendly technology for health and independence : 8th International Conference on Smart Homes and Health Telematics+ ICOST 2010+ Seoul+ Korea+ June 22-24+ 2010 ;..., , 2010
1006, The role of digital libraries in a time of global change : 12th International Conference on Asia-Pacific Digital Libraries+ ICADL 2010+ Gold Coast+ Australia+ June 21-25+ 2010 ;..., , 2010
1007, The role of digital libraries in a time of global change : 12th International Conference on Asia-Pacific Digital Libraries+ ICADL 2010+ Gold Coast+ Australia+ June 21-25+ 2010 :..., , 2010
1008, CRC standard mathematical tables and formulas, , 2018
1009, Understanding nanotechnology, , ©2002
1010, The coming of materials science, Cahn+ R. W., 2001
1011, Mastering algorithms with Perl, Orwant+ Jon, ©1999
1012, Girls and women in STEM : a never ending story, , 2014
1013, Who owns this text? : plagiarism+ authorship+ and disciplinary cultures, , 2009
1014, Gender in science and technology : interdisciplinary approaches, , 2014
1015, Roald Hoffmann on the philosophy+ art+ and science of chemistry, Hoffmann+ Roald, ©2012
1016, Thinking practices in mathematics and science learning, , 1998
1017, Learner-centered design : a cognitive view of managing complexity in product+ information+ and environmental design, Reeves+ Wayne W., ©1999
1018, Mathematics and music : a Diderot Mathematical Forum, , ©2002
1019, Causality+ meaningful complexity and embodied cognition, , ©2010
1020, At the edge of uncertainty : 11 discoveries taking science by surprise , Brooks+ Michael, 2015
1021, Boundary element methods with applications to nonlinear problems, Chen+ Goong, ©2010
1022, The lifebox+ the seashell+ and the soul : what gnarly computation taught me about ultimate reality+ the meaning of life+ and how to be happy, Rucker+ Rudy v. B., ©2005
1023, The researcher's guide to American genealogy, Greenwood+ Val D., ©1990
1024, This idea must die : scientific ideas that are blocking progress, , 2015
1025, Real-world Flash game development : how to follow best practices and keep your sanity, Griffith+ Christopher, 2010
1026, The future of the brain : essay by the world's leading neuroscientists+ the world's leading neuroscientists, , 2015
1027, Wonder women : 25 innovators+ inventors+ and trailblazers who changed history, Maggs+ Sam, 2016
1028, Know this : today's most interesting and important scientific ideas+ discoveries+ and developments, , 2017
1029, The World of physics : a small library of the literature of physics from antiquity to the present, , ©1987
1030, Science fiction quotations : from the inner mind to the outer limits, , ©2005
1031, The voice of memory : interviews 1961-1987, Levi+ Primo, 2001
1032, Is the universe a hologram? : scientists answer the most provocative questions, , 2017
1033, Phobias : fighting the fear, Saul+ Helen, ©2001
1034, Three decades of progress in control sciences : dedicated to Chris Byrnes and Anders Lindquist, , 2010
1035, Educational media and technology yearbook. Vol. 35+ 2010, , 2010
1036, The health of sexual minorities : public health perspectives on lesbian+ gay+ bisexual+ and transgender populations, , c2007
1037, Think tank : forty neuroscientists explore the biological roots of human experience, , 2018
1038, The Princeton companion to mathematics, , ©2008
1039, Body image : a handbook of science+ practice+ and prevention, , ©2011
1040, Information literacy : essential skills for the information age, Eisenberg+ Michael B., ©2004
1041, Who owns the future?, Lanier+ Jaron, 2013
1042, The economics book, , 2012
1043, Geek sublime : the beauty of code+ the code of beauty, Chandra+ Vikram, ©2014
1044, Future crimes : everything is connected+ everyone is vulnerable and what we can do about it, Goodman+ Marc, 2015
1045, Scientific data mining and knowledge discovery : principles and foundations, , ©2010
1046, HAL's legacy : 2001ʹs computer as dream and reality, , ©1997
1047, Future application and middleware technology on e-Science, , ©2010
1048, Thinking in complexity : the computional dynamics of matter+ mind+ and mankind, Mainzer+ Klaus, ©2007
1049, A new kind of science, Wolfram+ Stephen, ©2002
1050, Modeling and simulation in science and mathematics education, , 1999
1051, Remote instrumentation and virtual laboratories : service architecture and networking, , 2010
1052, Emerging web services technology. Volume III, , ©2010
1053, Women in game development : breaking the glass level-cap, , 2017
1054, Brain vs computer : the challenge of the century, Fillard+ J. P., 2017
1055, Science in dispute. Volume 1, , 2002
1056, Science in dispute. Volume 2, , c2002
1057, Science in dispute. Volume 3, , 2003
1058, Technology+ science teaching+ and literacy : a century of growth, King+ Kenneth P., ©2001
1059, Simula research laboratory : by thinking constantly about it, , ©2010
1060, Digital forensics, , 2018
1061, Foundations of Computation, , 2011
1062, Delftse Foundations of Computation, , 2018
1063, Think Complexity Exploring Complexity Science with Python, , 2012
1064, Career information center, , 2007
1065, High Performance Computing, , 2010
1066, How to Think Like a Computer Scientist C++ Version, , 2012
1067, Implementing a One Address CPU in Logisim, , 2016
1068, A Byte of Python, , 2013
1069, Think Java How To Think Like a Computer Scientist, , 2016
1070, Introduction to Computer Graphics, , 2016
1071, Nature of Geographic Information Systems, , 2014
1072, Digital Circuit Projects An Overview of Digital Circuits Through Implementing Integrated Circuits, , 2014
1073, Java+ Java+ Java Object-Oriented Problem Solving, , 2016
1074, Natural computing : 4th International Workshop on Natural Computing+ Himeji+ Japan+ September 2009+ proceedings, , c2010
1075, An Introduction to Computer Networks, , 2014
1076, The Little Book of Semaphores, ,
1077, Open Data Structures An Introduction, , 2013
